SN,IMEI,IMEI,COMPANY,PHONE,CONTACT NAME,KRA SERIAL,STATUS,DOCKING STATION,,,
N500Z059595,864531055568363,864531055633340 ,MAHITAJI DISCOUNT LTD,0724249129,EDWARD,KRAMW276202211196902,ACTIVATED,N5020126861,,,
N500Z059596,864531055658909,864531055678964 ,KENTALYA PUBLIC LIMITED COMPANY,0723804128,SIR JONAH,KRAMW276202211196904,ACTIVATED,N5020126867,,,
N500Z059597,864531055556822,864531055621808 ,B-ON-LINE LIMITED,0711200056,DAN,KRAMW276202211196907,ACTIVATED,N5020126864,,,
N500Z059598,864531055892128,864531055953342 ,WILCON LIMITED,0711200056,DAN,KRAMW276202211196905,ACTIVATED,N5020126865,,,
N500Z059599,864531055649395,864531055669450 ,GOLDROCK INTERNATIONAL ENTERPRISES COMPANY (KENYA) LIMITED,0720311179,BEN,KRAMW276202211196906,ACTIVATED,N5020126866,,,
N500Z059600,864531055916307,864531055977523 ,,,,KRAMW276202211196907,,N5020126859,,,
N500Z059601,864531055464241,864531055513385 ,FOREMOST BAKERS,0701963628,,KRAMW276202211196908,ACTIVATED,N5020126868,,, 
N500Z059602,864531055559396,864531055624372 ,SIGNATURE ROOTS LIMITED,0725542454,KEFAH MOMBO,KRAMW276202211196903,ACTIVATED,N5020126866,,,
N500Z059603,864531055569718,864531055634694 ,BELMONT PHARMACEUTICALS LTD,0716139885,PURITY,KRAMW276202211196901,ACTIVATED,N5020126860,,,
N500Z059604,864531055916067,864531055977283 ,SURGIK PHARMACY,0711667156,SURGIK,KRAMW276202211196909,ACTIVATED,,,,
,,,,,,,,,,,
,,,,,,,,,,,
N500Z058364,,,KKCO EAST AFRICA LLP,0714180924,JOB,KRAMW276202211196910,TRANFEED,,,,
N500Z058362,,,DRYLAND SEED LIMITED ,0723631578,JOHNSON,KRAMW276202211196911,TRANFEED,,,,
N500Z058361,,,Pharmart Chemist Limited,0722711198,MUTURI,KRAMW276202211196913,,,,,
N500Z058365,,,TWO FAMILIES LIMITED,0722385053,PURITY,KRAMW276202211196914,,,,,
