SERIAL NUMBER,MACHINE SERIAL,RANGE NO,COMPANY NAME,COMPANY PIN,TEL NO,AMT-ETR,REMARKS,,,P.O BOX,PLU
,,,,,,,DT,DC,COMMENT ,,
KRAMW276202304218101,,3631,KATHOZ BUILDING AND CONSTRUCTION COMPANY,P051421834R,0706926288,50500-765,25.05.2023,,,P.O. BOX 104897-00100,
KRAMW276202304218102,,3632,CENTRALLYWIN COMPANY LTD,P052120960P,0728739730,45000 - 324,ACTIVATED,,,,
KRAMW276202304218103,,3633,FISCAL GADGET,,,,,,peckerwoodslimited@gmail.com,,
KRAMW276202304218104,,3634,ELGIBOR VENTURE LIMITED,P051678492D,,,,,,,
KRAMW276202304218105,,3635,JONYSAM HOLDINGS LIMITED,P051759537X,0706451342,43000-724,,,,,
KRAMW276202304218106,,3636,JAPHY CONSTRUCTION AND ENGINEERING LIMITED,P052062532Z,0712358430,43000-725,,,,15,
KRAMW276202304218107,,3637,SAMROTEC ENTERPRISE LIMITED,P051759536W,0716449408,43000-726,,,,,
KRAMW276202304218108,,3638,MEDWIN HOLDING LIMITED,P052014572X,0724887075,45000-735,20.05.23,2000,LEAH,,
KRAMW276202304218109,,3639,JENNERICK NETWORKS LIMITED,P051662687T,0721277715,,19.05.23,,,,
KRAMW276202304218110,,3640,GACHEMU TRANSPORTERS & CONCRETES LIMITED,P052200371P,,40500-808,07.06.2023,,REPLACEMENT,120.002,
KRAMW276202304218111,,3641,JENNERICK NETWORKS LIMITED,P051662687T,0721277715,33000-733,,,VAR,1800,
KRAMW276202304218112,,3642,JENNERICK NETWORKS LIMITED,P051662687T,0721277715,33000-734,,,VAR,,
KRAMW276202304218113,,3643,FISCAL GADGET,P000596967Q,0115464988,45000-209,,,,,
KRAMW276202304218114,,3644,JENNERICK NETWORKS LIMITED,P051662687T,0721277715,33000-756,25.05.23,,VAR,,
KRAMW276202304218115,,3645,FISCAL GADGET,P052127322R,,,28.05.23,,,,
KRAMW276202304218116,,3646,SCALLOP ENTERPRISES LIMITED,P052018644C,1300,,08.06.23,,,,
KRAMW276202304218117,,3647,FGEE TECHNOLOGY LIMITED,P051462748F,14,,,,,,
KRAMW276202304218118,,3648,DOUBLE KEI BUILDING,P052049349J,LEAH ,45000-922,21.06.23,,,,
KRAMW276202304218119,,3649,SHEERWOOD TIMBER TREATMENT,P051906534N,,,20.07.23,,,"PO BOX 59802-0200 - NAIROBI
",Explore
KRAMW276202304218120,,3650,ALLIONS ,A003767408C,,,22.06.23,,,,
KRAMW276202304218121,,3651,FIXPOS,P052072685F,,74000,22.06.23,,,PO BOX 13874-00400,
KRAMW276202304218122,,3652,FIXPOS,P052072685F,,,22.06.23,,,PO BOX 13874-00400,
KRAMW276202304218123,,3653,SIXTY SHANIZ LIMITED,P051733912Z,,43000-956,29.06.23,,,P. O BOX 314-00900 NAIROBI,
KRAMW276202304218124,,3654,RAMECON ENGINEERING LIMITED,P051519571T,,43000-955,29.06.23,,,P.O BOX 79041-00200 NAIROBI,
KRAMW276202304218125,,3655,JIANZHU GUWEN ENTERPRISES LIMITED,P052174567F,,,,,,,
