SERIAL NUMBERS N86,COMPANY NAME,PIN NUMBER,D.TRANSFERED,MACHINE STATUS,SUPPLIER DEVICE RANGE,TEL NO,CU INVOICE NO.,P.L.U,P.O BOX,PAYMENT CODE,TEL NO,
KRAMW276202207086231,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1756,,,,,,,
KRAMW276202207086232,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1757,,,,,,,
KRAMW276202207086233,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1758,,,,,,,
KRAMW276202207086234,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1759,,,,,,,
KRAMW276202207086235,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1760,,1290,,,,,
KRAMW276202207086236,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1761,,,,,,,
KRAMW276202207086237,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,120,VAR,1762,,,,,,,
KRAMW276202207086238,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,6500,VAR,1763,,,,,,,
KRAMW276202207086239,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1764,,,,,,,
KRAMW276202207086240,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1765,,,,,,,
KRAMW276202207086241,INTEND GENERAL SUPPLIES LTD,P051932419D,,COLLECTED,1766,,48000-2907,GENERAL SUPPLIES ,P.O BOX 10110-00200 NRB,QGR87KCLJ4\QKJ88F0VC2,,
KRAMW276202207086242,JIM AFRICA EXHIBITIONS LIMITED,P051642513T,29/11/2022,ERROR 6004,1767,,55000-3166,KRA CLEAN UP,P.O BOX 32900-00600,QGU6CBE6VC/QKT4VUKZ44,,
KRAMW276202207086243,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1768,,,,,,,
KRAMW276202207086244,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1769,,,,,,,
KRAMW276202207086245,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1770,,,,,,,
KRAMW276202207086246,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1771,,,,,,,
KRAMW276202207086247,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1772,,,,,,,
KRAMW276202207086248,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,46.4,VAR,1773,,,,,,,
KRAMW276202207086249,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,69600,VAR,1774,,,,,,,
KRAMW276202207086250,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1775,,,,,,,
KRAMW276202207086251,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1776,,,,,,,
KRAMW276202207086252,NEBSAM DIGITAL SOLUTION (K) LIMITED,P051510924U,,VAR,1777,,,,,,,
KRAMW276202207086253,KIARIE ENTERPRISES,P051120483Q,,ACTIVATED,1778,,0722823110,,,CONFIRM PAYMNT,,
KRAMW276202207086254,SHOES EXPERTS ENTERPRISES,A001233415X,,ACTIVATED,1779,,,,,CONFIRM PAYMNT,,
